split,seed,condition,metric,score,n_eval
ChemicalID,1,vanilla,clean,0.99,100
ChemicalID,1,vanilla,distractor_5,0.61,100
ChemicalID,1,vanilla,no_path_5,0.0,100
ChemicalID,1,robust,clean,1.0,100
ChemicalID,1,robust,distractor_5,0.95,100
ChemicalID,1,robust,no_path_5,0.0,100
GeneID,1,vanilla,clean,1.0,100
GeneID,1,vanilla,distractor_5,0.6,100
GeneID,1,vanilla,no_path_5,0.0,100
GeneID,1,robust,clean,1.0,100
GeneID,1,robust,distractor_5,0.97,100
GeneID,1,robust,no_path_5,0.0,100
DiseaseID,1,vanilla,clean,1.0,100
DiseaseID,1,vanilla,distractor_5,0.56,100
DiseaseID,1,vanilla,no_path_5,0.0,100
DiseaseID,1,robust,clean,1.0,100
DiseaseID,1,robust,distractor_5,0.93,100
DiseaseID,1,robust,no_path_5,0.0,100
