split,condition,metric,mean,std,count,min,max
ChemicalID,robust,clean,1.0,,1,1.0,1.0
ChemicalID,robust,distractor_5,0.95,,1,0.95,0.95
ChemicalID,robust,no_path_5,0.0,,1,0.0,0.0
ChemicalID,vanilla,clean,0.99,,1,0.99,0.99
ChemicalID,vanilla,distractor_5,0.61,,1,0.61,0.61
ChemicalID,vanilla,no_path_5,0.0,,1,0.0,0.0
DiseaseID,robust,clean,1.0,,1,1.0,1.0
DiseaseID,robust,distractor_5,0.93,,1,0.93,0.93
DiseaseID,robust,no_path_5,0.0,,1,0.0,0.0
DiseaseID,vanilla,clean,1.0,,1,1.0,1.0
DiseaseID,vanilla,distractor_5,0.56,,1,0.56,0.56
DiseaseID,vanilla,no_path_5,0.0,,1,0.0,0.0
GeneID,robust,clean,1.0,,1,1.0,1.0
GeneID,robust,distractor_5,0.97,,1,0.97,0.97
GeneID,robust,no_path_5,0.0,,1,0.0,0.0
GeneID,vanilla,clean,1.0,,1,1.0,1.0
GeneID,vanilla,distractor_5,0.6,,1,0.6,0.6
GeneID,vanilla,no_path_5,0.0,,1,0.0,0.0
