split,k,accuracy,n,false_abstention_rate,distractor_answer_rate,other_wrong_rate
ChemicalID,0,0.94,50,0.06,0.0,0.0
ChemicalID,1,0.56,50,0.44,0.0,0.0
ChemicalID,3,0.6,50,0.4,0.0,0.0
ChemicalID,5,0.82,50,0.18,0.0,0.0
ChemicalID,10,0.86,50,0.14,0.0,0.0
ChemicalID,20,0.88,50,0.12,0.0,0.0
ChemicalID,50,0.88,50,0.1,0.0,0.02
DiseaseID,0,0.94,50,0.06,0.0,0.0
DiseaseID,1,0.8,50,0.2,0.0,0.0
DiseaseID,3,0.68,50,0.32,0.0,0.0
DiseaseID,5,0.84,50,0.16,0.0,0.0
DiseaseID,10,0.92,50,0.08,0.0,0.0
DiseaseID,20,0.86,50,0.14,0.0,0.0
DiseaseID,50,0.84,50,0.16,0.0,0.0
GeneID,0,0.9,50,0.1,0.0,0.0
GeneID,1,0.64,50,0.36,0.0,0.0
GeneID,3,0.66,50,0.34,0.0,0.0
GeneID,5,0.88,50,0.12,0.0,0.0
GeneID,10,0.84,50,0.16,0.0,0.0
GeneID,20,0.8,50,0.2,0.0,0.0
GeneID,50,0.8,50,0.18,0.0,0.02
