split,k,accuracy,n,false_abstention_rate,distractor_answer_rate,other_wrong_rate
ChemicalID,0,0.82,50,0.14,0.0,0.04
ChemicalID,1,0.86,50,0.12,0.0,0.02
ChemicalID,3,0.88,50,0.08,0.0,0.04
ChemicalID,5,0.9,50,0.08,0.0,0.02
ChemicalID,10,0.9,50,0.1,0.0,0.0
ChemicalID,20,0.92,50,0.08,0.0,0.0
ChemicalID,50,0.94,50,0.06,0.0,0.0
DiseaseID,0,0.8,50,0.1,0.0,0.1
DiseaseID,1,0.7,50,0.22,0.0,0.08
DiseaseID,3,0.8,50,0.12,0.0,0.08
DiseaseID,5,0.92,50,0.04,0.0,0.04
DiseaseID,10,0.88,50,0.1,0.0,0.02
DiseaseID,20,0.88,50,0.12,0.0,0.0
DiseaseID,50,0.98,50,0.02,0.0,0.0
GeneID,0,0.84,50,0.1,0.0,0.06
GeneID,1,0.78,50,0.14,0.0,0.08
GeneID,3,0.84,50,0.12,0.0,0.04
GeneID,5,0.9,50,0.06,0.0,0.04
GeneID,10,0.92,50,0.08,0.0,0.0
GeneID,20,0.9,50,0.1,0.0,0.0
GeneID,50,0.94,50,0.06,0.0,0.0
